ID_static	ID	Author	Checked By	Language	Country/Region	Question	Answer	Evidence_url	Question Automatic Translation	Question Corrected Translation	Answer Automatic Translation	Answer Corrected Translation	Translation Corrected By	Notes	URL language (if different from target language)	Category	gemini-3.6-flash Response
1	1	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	UEFA Kupası'nı kazanan ve 8 Süper Lig şampiyonluğunun sahibi teknik direktör Fatih Terim'in lakabı nedir?	İmparator	https://tr.wikipedia.org/wiki/Fatih_Terim	What is the nickname of Fatih Terim, the manager who won the UEFA Cup and holds 8 Süper Lig championships?		Emperor	Emperor	Tarık Tuna Taşaltı			Sport	İmparator
2	2	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Kazandığı olimpiyat şampiyonluklarıyla Türk spor tarihine geçen halterci Naim Süleymanoğlu'nun lakabı nedir?	Cep Herkülü	https://tr.wikipedia.org/wiki/Naim_S%C3%BCleymano%C4%9Flu	What was the nickname of Naim Süleymanoğlu, the weightlifter who made history in Turkish sports with his Olympic championships?		Pocket Hercules		Melike Kızılay			Sport	Cep Herkülü
3	3	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Bilardo literatürüne kendi adıyla geçen vuruş teknikleri kazandıran Türk sporcu kimdir?	Semih Saygıner	https://tr.wikipedia.org/wiki/Semih_Sayg%C4%B1ner	Which Turkish athlete introduced stroke techniques into billiards literature that bear his name?		Semih Saygıner		Melike Kızılay			Sport	Semih Saygıner
4	4	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türk okçuluk tarihinin ilk Olimpiyat, dünya ve Avrupa şampiyonu olan sporcu kimdir?	Mete Gazoz	https://tr.wikipedia.org/wiki/Mete_Gazoz	Who is the first Turkish archer to win Olympic, world, and European championships in the history of Turkish archery?		Mete Gazoz		Melike Kızılay			Sport	Mete Gazoz
5	5	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Serbest dalış kategorisinde Türkiye rekorunu elinde bulunduran Türk sporcu kimdir?	Şahika Ercümen	https://tr.wikipedia.org/wiki/%C5%9Eahika_Erc%C3%BCmen	Who is the Turkish athlete who holds the Turkish record in the freediving category?		Shahika Ercumen	Şahika Ercümen	Tarık Tuna Taşaltı			Sport	Şahika Ercümen
6	6	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Paris 2024 Olimpiyatları'ndaki tabanca atışları sırasında profesyonel ekipman kullanmaması ve rahat hareketleri sebebiyle dünya genelinde viral olan Türk sporcu kimdir?	Yusuf Dikeç	https://tr.wikipedia.org/wiki/Yusuf_Dike%C3%A7	Who is the Turkish athlete who went viral worldwide for not using professional equipment and for his relaxed movements during the pistol shooting competition at the Paris 2024 Olympics?		Yusuf Dikeç		Melike Kızılay			Sport	Yusuf Dikeç
7	7	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	2022 yılında Galatasaray'a transfer olduktan sonra attığı gollerle taraftarın sevgisini kazanan Mauro Icardi ile özdeşleşen Simge Sağın şarkısının adı nedir?	Aşkın Olayım	https://tr.wikipedia.org/wiki/Mauro_Icardi	What is the name of the Simge Sağın song that has become synonymous with Mauro Icardi, who won the hearts of Galatasaray fans with the goals he scored after transferring to the club in 2022?		Let Me Be Your Love	Aşkın Olayım	Tarık Tuna Taşaltı			Sport	Aşkın Olayım
8	8	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Fenerbahçeli taraftarlarının eski Türk milli futbolcu Serhat Akın'a verdiği meşhur lakap nedir?	Kadıköy Boğası	https://tr.wikipedia.org/wiki/Serhat_Ak%C4%B1n	What is the famous nickname given to former Turkish national football player Serhat Akın by Fenerbahçe fans?		Kadıköy Bull		Melike Kızılay			Sport	Kadıköy Boğası
9	9	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Euro 2008'de Hırvatistan'a attığı golle tarihe geçen eski Türk milli futbolcu Semih Şentürk'ün lakabı nedir?	Nöbetçi Golcü	https://tr.wikipedia.org/wiki/Semih_%C5%9Eent%C3%BCrk	What is the nickname of former Turkish national football player Semih Şentürk, who made history with his goal against Croatia at Euro 2008?		Substitute Striker	Striker on Duty	Tarık Tuna Taşaltı			Sport	Nöbetçi Golcü
10	10	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türkiye Süper Ligi'nde Galatasaray, Fenerbahçe ve Beşiktaş ile şampiyonluk yaşayan ilk ve tek teknik direktör kimdir?	Mustafa Denizli	https://tr.wikipedia.org/wiki/Mustafa_Denizli	Who is the first and only manager to have won the Turkish Super League championship with Galatasaray, Fenerbahçe, and Beşiktaş?		Mustafa Denizli		Melike Kızılay			Sport	Mustafa Denizli
